z,p,T,Td,u,v
862.0,925.0,25.0,5.0,-5.83152,-0.97192
1593.0,850.0,20.4,-2.6000000000000014,-7.580976,8.941664
3242.0,700.0,9.8,-6.199999999999999,8.164128,17.688944
5910.0,500.0,-13.7,-17.099999999999998,20.021552,-7.386591999999999
7560.0,400.0,-26.1,-27.6,15.939487999999999,7.386591999999999
9580.0,300.0,-41.3,-46.0,16.52264,16.52264
10790.0,250.0,-51.5,-56.5,23.909232000000003,20.021552
12200.0,200.0,-62.7,-67.60000000000001,25.26992,21.187856
13950.0,150.0,-63.5,-80.5,22.937312000000002,4.082064
16470.0,100.0,-61.1,-87.1,7.580976,-1.360688
18700.0,70.0,-61.7,-88.7,7.580976,-1.360688
20790.0,50.0,-60.3,-88.3,-0.583152,-1.94384
23990.0,30.0,-56.1,-87.1,-9.330432,-2.526992
26610.0,20.0,-48.5,-83.5,-10.107968,14.384416000000002
,950.0,29.0,6.0,-0.583152,1.7494560000000001
